,ID,Кличка официальная,Отец id,Мать id
,1,GREAT CHAPPIE ANZIN PRIDE,2,3
,2,COPIA ONE STEP BEYOND AT KILACABAR,4,5
,3,ODESSA OPALPLAST WHITE PERLS UA,6,7
,4,BLUEPOINT HOT SHOT AT KILACABAR,8,9
,5,ABBIS DREAM OF COPIA,10,11
,6,LLANWENARTH LOVE OPALPLAST,12,13
,7,MONSERRATE WHITE PERLS UA,14,15
,8,LEGENDARY LEON TIMAR,16,17
,9,BLUEPOINT PRETTY SPECIAL,18,19
,10,BRITE YOUNG FIRE AT KILACABAR,16,20
,11,WHITE WOUNDER OF COPIA,21,22
,12,NORTHERN THUNDER AT KILACABAR,23,24
,13,GIMAR SCARLET O'HARA AT LLANWENARTH,25,26
,14,WAGNER OPALPLAST LAKONGA,27,28
,15,BLACK SHEEP OPALPLAST GOBLIN,29,30
,16,NOSRETTAP CELTIC STAR AT KILACABAR,23,31
,17,HOZA HANKA TIMAR,32,33
,18,NAEJEKIM LUCIFER RISING AT BLUEPOINT,34,35
,19,IF THE GOING GETS TOUGH AT DENPOWER,36,37
,20,KILADAGH DARK ANGEL OF SEAYESS,38,39
,21,BULLYWOOD ADONIS,40,41
,22,BANNYSTONE BASHFUL BABE,42,43
,23,ALECTO KOOL BARRACUDA AT KILACABAR,44,45
,24,THINGWALL DOLLY'S PRIDE,46,47
,25,APACHE BRAVE OF KILACABAR,48,49
,26,KIARAS KISSES,50,51
,27,BE MY BABY OPALPLAST,52,53
,28,ENEMY PUBLIC NUMBER ONE LAKONGA,54,55
,29,TONY RICKARDSSON OPALPLAST,56,57
,30,SHARON STONE GOBLIN OPALPLAST,54,58
,31,KILACABAR FIRE STAR AT NOSRETTAP,59,60
,32,GENTLE LAWMAN OF KILACABAR,61,62
,33,FOREMNA FRYTKA TIMAR,63,64
,34,ISSACHAR ICEMAN OF DENPOWER,65,66
,35,SWEET LITTLE DIAMOND,36,67
,36,HILLANVALE SNOW KING OF DENPOWER,61,68
,37,PRIDE OF OUR ALLEY,69,70
,38,CWMDULAIS FLASH HARRY,59,71
,39,KILADAGH ILLUSION,72,73
,40,BLAZING STORM AT BULLYWOOD,42,43
,41,BLAZING FLAME OF BULLYWOOD,42,74
,42,BULLYWOOD BLAZING STAR,48,75
,43,MULBERRY MOLLIE,76,74
,44,LUSTYGLAZE TOO HOT TO HANDLE AT KILACABAR,59,77
,45,MINFFORDD EMERALD ISLE OF KILACABAR,38,78
,46,ROCKHOME ROOSTER,79,80
,47,STICK TO FUDGE,65,66
,48,JAMIES BRIGHT STAR AT ISHABA,81,82
,49,SHADOW CHASER,83,84
,50,KILACABAR FIRE STARTER,59,60
,51,MISS MIX MAX,85,86
,52,DAZLIN DEFIANCE,23,87
,53,OPALPLAST SATIN JEDI,54,88
,54,KILADAGH BEETLEJUICE,38,39
,55,NUMBER TWO OPALPLAST,89,90
,56,DEMON INFERNO AT DAZLIN,44,91
,57,EMPRESS MAUD OF KILACABAR,48,75
,58,NUMBER ONE OPALPLAST,89,90
,59,FLASH POINT INFERNO AT KILACABAR,81,92
,60,HOCUS POCUS,93,94
,61,DENPOWER BARON BASKERVILLE OF BULLYDALE,93,95
,62,MY ELEGANT LADY,96,97
,63,LOOK ME IN THE EYE AT ARICON,98,99
,64,BYSTRA BALBINA TIMAR,100,101
,65,KENZED PRINCE OF DARKNESS AT DENPOWER,36,67
,66,BARNARD SARA,102,103
,67,LADY DAISY OF ESSAITCH,104,105
,68,KAYLORN DORN OF HILLANVALE,106,107
,69,MAPALEE NIM ROD,108,109
,70,STARAY'S RASPBERRY BERET,96,110
,71,CWMDULAIS ANGHARAQ,93,111
,72,MANZANITA MORDRED,112,113
,73,KILACABAR KANDLE IN THE WIND,114,115
,74,KERRYBAR ALEXANDRA,116,117
,75,KILACABAR KAST A SPELL OF BULLYWOOD,93,118
,76,CREDETTA KING BILLY,81,119
,77,BULLYVIEW DANCER,120,121
,78,MINFFORDD SHOW QUEEN,122,123
